trend_id,대표 트렌드명,후보 키워드,역할,별칭·표기,문맥 공동언급,시간 동조,관계 구체성,소비 전환성,일반성 감점,계절성 감점,총점,등급,최종 판정
TR-2025-001,두바이 쫀득 쿠키,두바이 쫀득 쿠키,대표명·별칭,25,25,20,15,15,0,0,100,핵심,핵심
TR-2025-001,두바이 쫀득 쿠키,두쫀쿠,대표명·별칭,25,25,20,15,10,0,0,95,핵심,핵심
TR-2025-001,두바이 쫀득 쿠키,카다이프,구성요소,0,20,19,15,12,3,0,63,연관,연관
TR-2025-001,두바이 쫀득 쿠키,피스타치오 스프레드,구성요소,0,20,19,15,12,4,0,62,연관,연관
TR-2025-001,두바이 쫀득 쿠키,피스타치오,구성요소,0,18,17,12,10,10,0,47,확인중,확인중
TR-2025-001,두바이 쫀득 쿠키,두쫀쿠 품절,소비 신호,0,20,20,15,15,2,0,68,연관,소비 신호
TR-2025-001,두바이 쫀득 쿠키,두바이 초콜릿,확산 맥락,0,22,0,15,10,3,0,44,제외,제외
TR-2023-001,탕후루,탕후루,대표명·별칭,25,25,20,15,15,0,0,100,핵심,핵심
TR-2023-001,탕후루,왕가탕후루,확산 맥락,0,22,20,15,15,1,0,71,연관,연관
TR-2023-001,탕후루,탕후루 레시피,소비 신호,0,14,20,15,15,3,1,60,연관,소비 신호
TR-2023-001,탕후루,탕후루 만들기,소비 신호,0,17,20,15,15,3,1,63,연관,소비 신호
TR-2023-001,탕후루,딸기탕후루,제품·형태,0,18,4,12,8,7,5,30,제외,제외
TR-2023-001,탕후루,샤인머스캣 탕후루,제품·형태,0,20,20,15,12,4,1,62,연관,연관
TR-2023-001,탕후루,사파이어포도 탕후루,제품·형태,0,20,20,15,12,3,1,63,연관,연관
TR-2022-001,뉴진스 Hype Boy,Hype Boy,대표명·별칭,25,25,20,15,15,0,0,100,핵심,핵심
TR-2022-001,뉴진스 Hype Boy,하입보이,대표명·별칭,25,24,17,15,10,0,0,91,핵심,핵심
TR-2022-001,뉴진스 Hype Boy,뉴진스,확산 맥락,0,22,20,15,10,0,0,67,연관,연관
TR-2022-001,뉴진스 Hype Boy,하입보이 챌린지,소비 신호,0,20,15,15,15,0,0,65,연관,소비 신호
TR-2022-001,뉴진스 Hype Boy,하입보이 안무,소비 신호,0,20,15,15,15,0,0,65,연관,소비 신호
TR-2022-001,뉴진스 Hype Boy,뉴진스의 하입보이요,확산 맥락,0,25,12,15,15,0,0,67,연관,연관
